Source,Title,Description,Location,Date,MoreDetails
Lethbridge News Now,FALL ARRIVALS,n/a,Blue Sage Boutique,in Lethbridge,https://www.southernalberta.com/event.asp?EventID=16753
Lethbridge News Now,New Fall Arrivals,n/a,Blue Sage Boutique,in Lethbridge,https://www.southernalberta.com/event.asp?EventID=16754
Lethbridge News Now,Join the Inspire Hot Yoga 30-Day Challenge!,n/a,Inspire Hot Yoga,in Lethbridge,https://www.southernalberta.com/event.asp?EventID=16775
Lethbridge News Now,Pro-Amateur Night Comedy Night,n/a,Good Times Comedy Club,in Lethbridge,https://www.southernalberta.com/event.asp?EventID=16718
Lethbridge News Now,As the World Burns - YQL’s Unscripted Soap Opera b,n/a,Good Times Comedy Club,in Lethbridge,https://www.southernalberta.com/event.asp?EventID=16782
Lethbridge News Now,Ed Hill - Live Stand-Up Comedy,n/a,Good Times Comedy Club,in Lethbridge,https://www.southernalberta.com/event.asp?EventID=16722
Lethbridge News Now,Queer-Prov (Improvised Comedy)- Fall Fashion edit.,n/a,Good Times Comedy Club,in Lethbridge,https://www.southernalberta.com/event.asp?EventID=16528
Lethbridge News Now,Marito Lopez - Live Stand-Up Comedy,n/a,Good Times Comedy Club,in Lethbridge,https://www.southernalberta.com/event.asp?EventID=16531
Lethbridge News Now,Ahren Belisle - Special Sunday Show,n/a,Good Times Comedy Club,in Lethbridge,https://www.southernalberta.com/event.asp?EventID=16701
Lethbridge News Now,Personal Reflections of Grief Group,n/a,Lethbridge Family Services,"Thursdays, 9:30–11:00 am, October 10–31, 2024 in Lethbridge",https://www.southernalberta.com/event.asp?EventID=16738
Lethbridge News Now,Alex Carr - Live Stand-Up Comedy,n/a,Good Times Comedy Club,in Lethbridge,https://www.southernalberta.com/event.asp?EventID=16783
Lethbridge News Now,Ladies Comedy Night with Celeste Lampa,n/a,Good Times Comedy Club,in Lethbridge,https://www.southernalberta.com/event.asp?EventID=16474
Lethbridge News Now,Celeste Lampa - Live Stand-Up Comedy,n/a,Good Times Comedy Club,in Lethbridge,https://www.southernalberta.com/event.asp?EventID=16785
Lethbridge News Now,Allyson June Smith - Live Stand-Up Comedy,n/a,Good Times Comedy Club,in Lethbridge,https://www.southernalberta.com/event.asp?EventID=16794
